"Symbol","Name","Category1","Category2","Category3","Morningstar Category","Morningstar Rating","Market cap","Current yield","Fees","Action"
"LSGRX","Loomis Sayles Growth Fund Class Y","US Equity","Broad market","Large cap","Large Growth","4","$10,110,510,000","0.00%","0.00%","Analyze"
"FKDNX","Franklin DynaTech Fund Class A","US Equity","Broad market","Large cap","Large Growth","5","$9,966,540,000","0.00%","0.87%","Analyze"
"PEYAX","Putnam Large Cap Value Fund Class A","US Equity","Broad market","Large cap","Large Value","4","$9,720,230,000","0.00%","0.91%","Analyze"
"FDNRX","Franklin DynaTech Fund Class R","US Equity","Broad market","Large cap","Large Growth","4","$9,600,000,000","0.00%","1.11%","Analyze"
"FDTRX","Franklin DynaTech Fund Class R6","US Equity","Broad market","Large cap","Large Growth","5","$9,600,000,000","0.00%","0.51%","Analyze"
"FDYZX","Franklin DynaTech Fund Advisor Class","US Equity","Broad market","Large cap","Large Growth","5","$9,600,000,000","0.00%","0.62%","Analyze"
"VWUSX","Vanguard U.S. Growth Fund Investor Shares","US Equity","Broad market","Large cap","Large Growth","3","$9,543,490,000","0.00%","0.42%","Analyze"
"BBVLX","Bridge Builder Large Cap Value Fund","US Equity","Broad market","Large cap","Large Value","4","$9,500,000,000","0.28%","0.25%","Analyze"
"CMGIX","BlackRock Mid-Cap Growth Equity Portfolio Institutional Shares","US Equity","Broad market","Mid cap","Mid-Cap Growth","5","$9,059,700,000","0.00%","0.80%","Analyze"
"MSIGX","Invesco Main Street Fund Class A","US Equity","Broad market","Large cap","Large Blend","3","$9,044,490,000","0.00%","0.92%","Analyze"
"TWCGX","American Century Growth Fund Investor Class","US Equity","Broad market","Large cap","Large Growth","3","$8,853,810,000","0.00%","0.98%","Analyze"
"CGPAX","American Funds Growth Portfolio Class 529-A","US Equity","Broad market","Large cap","Large Growth","2","$8,800,000,000","0.00%","0.80%","Analyze"
"CGPCX","American Funds Growth Portfolio Class 529-C","US Equity","Broad market","Large cap","Large Growth","1","$8,800,000,000","0.00%","1.56%","Analyze"
"CGPEX","American Funds Growth Portfolio Class 529-E","US Equity","Broad market","Large cap","Large Growth","2","$8,800,000,000","0.00%","1.00%","Analyze"
